Experiment,User_ID,Turn,Q_orig,V_state,Advantage,Progress,H_state,H_action,Dissonance,Delta_H_state,Delta_H_action,S_Trend,Sys_Strategy,Sys_Category,Prev_User_Strategy,Prev_User_Category
Qwen3-8B,persona_36,2,0.0,0.8,-1.0,0.0,0.5545563752193174,0.3035468992474182,0.25100947597189927,0.0,0.0,0.0,Emotion Appeal,Core Persuasion,Others,Evasion
Qwen3-8B,persona_36,3,0.0,0.2,-0.25,-0.6000000000000001,0.3900148401993468,0.3074150966760047,0.0825997435233421,-0.16454153501997065,0.0038681974285865173,-0.16840973244855717,Credibility Appeal,Core Persuasion,Information Inquiry,Evasion
Qwen3-8B,persona_36,4,0.0,0.8,-1.0,0.6000000000000001,0.5042664671272546,0.14673189215136506,0.3575345749758896,0.11425162692790786,-0.16068320452463963,0.2749348314525475,Foot in the Door,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,5,0.0,0.0,0.0,-0.8,0.5906913497889196,0.4513030870938565,0.13938826269506305,0.08642488266166493,0.30457119494249146,-0.21814631228082654,Self Modeling,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,6,0.0,0.0,0.0,0.0,0.5265482513035806,0.45144518020970253,0.0751030710938781,-0.06414309848533895,0.00014209311584600925,-0.06428519160118495,Task Related Inquiry,Exploration,Hesitance,Evasion
Qwen3-8B,persona_36,7,0.0,0.0,0.0,0.0,0.5621381666202935,0.10576781482022161,0.45637035180007185,0.03558991531671285,-0.3456773653894809,0.38126728070619376,Personal Related Inquiry,Exploration,Personal Choice,Defensive
Qwen3-8B,persona_36,8,0.0,0.0,0.0,0.0,0.48341824959001595,0.22597605541751303,0.2574421941725029,-0.07871991703027753,0.12020824059729142,-0.19892815762756894,Foot in the Door,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,9,0.0,0.0,0.0,0.0,0.5109624254167213,0.21549060059392813,0.2954718248227932,0.027544175826705375,-0.0104854548235849,0.038029630650290275,Foot in the Door,Action Facilitation,Others,Evasion
Qwen3-8B,persona_36,10,0.0,0.0,0.0,0.0,0.5680706973467868,0.012295126754192236,0.5557755705925946,0.05710827193006551,-0.2031954738397359,0.2603037457698014,Foot in the Door,Action Facilitation,Others,Evasion
Qwen3-8B,persona_82,2,1.0,0.4,0.75,0.0,0.40105165016697464,0.4856697526487889,-0.08461810248181428,0.0,0.0,0.0,Emotion Appeal,Core Persuasion,Others,Evasion
Qwen3-8B,persona_82,3,1.0,0.2,1.0,-0.2,0.3549561619003317,0.3026757652615549,0.052280396638776816,-0.04609548826664295,-0.18299398738723405,0.1368984991205911,Credibility Appeal,Core Persuasion,Information Inquiry,Evasion
